Column1,Column2
"[[2, 3], [1, 4]]",0.966166779
"[[1, 4], [2, 3]]",0.96588907
"[[2, 3], [1, 4]]",0.965738996
"[[2, 3], [1, 4]]",0.965755289
"[[2, 3], [1, 4]]",0.965715787
"[[1, 4], [2, 3]]",0.965543013
"[[2, 3], [1, 4]]",0.965205573
"[[1, 4], [2, 3]]",0.964666448
"[[1, 4], [2, 3]]",0.964086031
"[[2, 3], [1, 4]]",0.963498398
"[[2, 3], [1, 4]]",0.963159395
"[[2, 3], [1, 4]]",0.962644985
"[[2, 3], [1, 4]]",0.962302729
"[[2, 3], [1, 4]]",0.961979932
"[[2, 3], [1, 4]]",0.961741689
"[[2, 3], [1, 4]]",0.96161365
"[[2, 3], [1, 4]]",0.960795345
"[[2, 3], [1, 4]]",0.960456873
"[[2, 3], [1, 4]]",0.959970962
"[[2, 3], [1, 4]]",0.959489306
"[[2, 3], [1, 4]]",0.958975577
"[[2, 3], [1, 4]]",0.958282958
"[[2, 3], [1, 4]]",0.956183875
"[[2, 3], [1, 4]]",0.95504101
"[[2, 3], [1, 4]]",0.954858013
"[[2, 3], [1, 4]]",0.954853248
"[[2, 3], [1, 4]]",0.954413057
"[[2, 3], [1, 4]]",0.954524043
"[[4], [1, 2, 3]]",0.954550008
"[[2, 3], [1, 4]]",0.954662422
"[[2, 3], [1, 4]]",0.954647362
"[[2, 3], [1, 4]]",0.954384459
"[[2, 3], [1, 4]]",0.954148254
"[[2, 3], [1, 4]]",0.954748864
"[[4], [1, 2, 3]]",0.958730107
"[[4], [1, 2, 3]]",0.96396083
"[[4], [1, 2, 3]]",0.965710284
"[[4], [1, 2, 3]]",0.96698472
"[[4], [1, 2, 3]]",0.968851808
"[[4], [1, 2, 3]]",0.970749721
"[[4], [1, 2, 3]]",0.971915279
"[[4], [1, 2, 3]]",0.972138595
"[[4], [1, 2, 3]]",0.972809668
"[[4], [1, 2, 3]]",0.973143163
"[[4], [1, 2, 3]]",0.973339468
"[[4], [1, 2, 3]]",0.973400205
"[[4], [1, 2, 3]]",0.973443084
"[[4], [1, 2, 3]]",0.974489343
"[[4], [1, 2, 3]]",0.977491582
"[[4], [1, 2, 3]]",0.979304225
"[[4], [1, 2, 3]]",0.980051526
"[[4], [1, 2, 3]]",0.980122595
"[[4], [1, 2, 3]]",0.980169577
"[[4], [1, 2, 3]]",0.980205049
"[[4], [1, 2, 3]]",0.980178119
"[[4], [1, 2, 3]]",0.980065103
"[[4], [1, 2, 3]]",0.979988355
"[[4], [1, 2, 3]]",0.979411398
"[[4], [1, 2, 3]]",0.977229788
"[[4], [1, 2, 3]]",0.976766722
"[[4], [1, 2, 3]]",0.976405296
"[[4], [1, 2, 3]]",0.976482191
"[[4], [1, 2, 3]]",0.976594131
"[[4], [1, 2, 3]]",0.976925395
"[[4], [1, 2, 3]]",0.977222777
"[[4], [1, 2, 3]]",0.97746727
"[[4], [1, 2, 3]]",0.977416243
"[[4], [1, 2, 3]]",0.977700438
"[[4], [1, 2, 3]]",0.977344957
"[[4], [1, 2, 3]]",0.977456277
"[[4], [1, 2, 3]]",0.978080188
"[[4], [1, 2, 3]]",0.977663817
"[[4], [1, 2, 3]]",0.976956284
"[[4], [1, 2, 3]]",0.97645496
"[[4], [1, 2, 3]]",0.976429308
"[[4], [1, 2, 3]]",0.976559381
"[[4], [1, 2, 3]]",0.976566371
"[[4], [1, 2, 3]]",0.976448407
"[[4], [1, 2, 3]]",0.9764553
"[[4], [1, 2, 3]]",0.976719855
"[[4], [1, 2, 3]]",0.976772756
"[[4], [1, 2, 3]]",0.976001162
"[[4], [1, 2, 3]]",0.974450319
"[[4], [1, 2, 3]]",0.973758611
"[[4], [1, 2, 3]]",0.97391361
"[[4], [1, 2, 3]]",0.974197926
"[[4], [1, 2, 3]]",0.974372407
"[[4], [1, 2, 3]]",0.974523423
"[[4], [1, 2, 3]]",0.974755833
"[[4], [1, 2, 3]]",0.974802372
"[[4], [1, 2, 3]]",0.97500003
"[[4], [1, 2, 3]]",0.975377308
"[[4], [1, 2, 3]]",0.975745841
"[[2, 3], [1, 4]]",0.976012184
"[[2, 3], [1, 4]]",0.976247384
"[[4], [1, 2, 3]]",0.976353606
"[[2, 3], [1, 4]]",0.976337557
"[[2, 3], [1, 4]]",0.976202277
"[[2, 3], [1, 4]]",0.976285195
"[[2, 3], [1, 4]]",0.975125043
"[[2, 3], [1, 4]]",0.975166148
"[[2, 3], [1, 4]]",0.975200172
"[[2, 3], [1, 4]]",0.975229593
"[[2, 3], [1, 4]]",0.975164847
"[[2, 3], [1, 4]]",0.974929234
"[[2, 3], [1, 4]]",0.974704092
"[[2, 3], [1, 4]]",0.973715828
"[[2, 3], [1, 4]]",0.973366204
"[[2, 3], [1, 4]]",0.973097633
"[[2, 3], [1, 4]]",0.972750513
"[[2, 3], [1, 4]]",0.972431981
"[[2, 3], [1, 4]]",0.972308174
"[[2, 3], [1, 4]]",0.971972205
"[[2, 3], [1, 4]]",0.971746606
"[[2, 3], [1, 4]]",0.971375039
"[[2, 3], [1, 4]]",0.971335716
"[[2, 3], [1, 4]]",0.970946831
"[[2, 3], [1, 4]]",0.970486751
"[[2, 3], [1, 4]]",0.970151584
"[[2, 3], [1, 4]]",0.970019154
"[[2, 3], [1, 4]]",0.969263103
"[[2, 3], [1, 4]]",0.968983646
"[[2, 3], [1, 4]]",0.96869742
"[[2, 3], [1, 4]]",0.968410846
"[[2, 3], [1, 4]]",0.96840619
"[[4], [1, 2, 3]]",0.968628038
"[[2, 3], [1, 4]]",0.968857807
"[[2, 3], [1, 4]]",0.968580814
"[[2, 3], [1, 4]]",0.968395831
"[[4], [1, 2, 3]]",0.968784396
"[[4], [1, 2, 3]]",0.969905397
"[[4], [1, 2, 3]]",0.970655147
"[[4], [1, 2, 3]]",0.970710784
"[[4], [1, 2, 3]]",0.970680186
"[[4], [1, 2, 3]]",0.970584174
"[[4], [1, 2, 3]]",0.970585831
"[[4], [1, 2, 3]]",0.970612694
"[[4], [1, 2, 3]]",0.970706818
"[[4], [1, 2, 3]]",0.970680799
"[[4], [1, 2, 3]]",0.970625332
"[[4], [1, 2, 3]]",0.970621266
"[[4], [1, 2, 3]]",0.970596983
"[[4], [1, 2, 3]]",0.970682738
"[[4], [1, 2, 3]]",0.970338441
"[[4], [1, 2, 3]]",0.969661195
"[[4], [1, 2, 3]]",0.969276553
"[[4], [1, 2, 3]]",0.969315345
"[[4], [1, 2, 3]]",0.970775964
"[[4], [1, 2, 3]]",0.970704056
"[[4], [1, 2, 3]]",0.970586674
"[[4], [1, 2, 3]]",0.970415015
"[[4], [1, 2, 3]]",0.970267739
"[[4], [1, 2, 3]]",0.970392716
"[[4], [1, 2, 3]]",0.970014317
"[[4], [1, 2, 3]]",0.971467224
"[[4], [1, 2, 3]]",0.971832062
"[[4], [1, 2, 3]]",0.971719117
"[[4], [1, 2, 3]]",0.971690609
"[[4], [1, 2, 3]]",0.971559821
"[[4], [1, 2, 3]]",0.971383543
"[[4], [1, 2, 3]]",0.971167211
"[[4], [1, 2, 3]]",0.971062793
"[[4], [1, 2, 3]]",0.970803412
"[[4], [1, 2, 3]]",0.970503802
"[[4], [1, 2, 3]]",0.97017179
"[[4], [1, 2, 3]]",0.96973184
"[[4], [1, 2, 3]]",0.96909167
"[[4], [1, 2, 3]]",0.968769783
"[[4], [1, 2, 3]]",0.969822032
"[[4], [1, 2, 3]]",0.970086449
"[[4], [1, 2, 3]]",0.970175346
"[[4], [1, 2, 3]]",0.968731599
"[[4], [1, 2, 3]]",0.968313231
"[[4], [1, 2, 3]]",0.968454454
"[[4], [1, 2, 3]]",0.96851232
"[[4], [1, 2, 3]]",0.968557195
"[[4], [1, 2, 3]]",0.968526489
"[[4], [1, 2, 3]]",0.968233517
"[[4], [1, 2, 3]]",0.96525311
"[[4], [1, 2, 3]]",0.964159771
"[[4], [1, 2, 3]]",0.963897759
"[[4], [1, 2, 3]]",0.963702115
"[[4], [1, 2, 3]]",0.963795345
"[[4], [1, 2, 3]]",0.963724549
"[[4], [1, 2, 3]]",0.963684779
"[[4], [1, 2, 3]]",0.96392217
"[[4], [1, 2, 3]]",0.964067767
"[[4], [1, 2, 3]]",0.964082193
"[[4], [1, 2, 3]]",0.963827887
"[[4], [1, 2, 3]]",0.963599526
"[[4], [1, 2, 3]]",0.963544991
"[[4], [1, 2, 3]]",0.964453027
"[[4], [1, 2, 3]]",0.965873818
"[[4], [1, 2, 3]]",0.966921742
"[[4], [1, 2, 3]]",0.967247704
"[[4], [1, 2, 3]]",0.967513074
"[[4], [1, 2, 3]]",0.967759414
"[[4], [1, 2, 3]]",0.967867639
"[[4], [1, 2, 3]]",0.967978566
"[[4], [1, 2, 3]]",0.968025466
"[[4], [1, 2, 3]]",0.968059247
"[[4], [1, 2, 3]]",0.969160576
"[[4], [1, 2, 3]]",0.969740849
"[[4], [1, 2, 3]]",0.970264225
"[[4], [1, 2, 3]]",0.970697202
"[[4], [1, 2, 3]]",0.971007758
"[[4], [1, 2, 3]]",0.971414548
"[[4], [1, 2, 3]]",0.971630077
"[[4], [1, 2, 3]]",0.972125728
"[[4], [1, 2, 3]]",0.972614837
"[[4], [1, 2, 3]]",0.973151492
"[[4], [1, 2, 3]]",0.973767737
"[[4], [1, 2, 3]]",0.974424869
"[[4], [1, 2, 3]]",0.975172638
"[[4], [1, 2, 3]]",0.976032121
"[[2, 3], [1, 4]]",0.97675318
"[[2, 3], [1, 4]]",0.977310032
"[[2, 3], [1, 4]]",0.977625989
"[[2, 3], [1, 4]]",0.977578171
"[[2, 3], [1, 4]]",0.978885003
"[[4], [1, 2, 3]]",0.979389718
"[[2, 3], [1, 4]]",0.97938623
