Column1,Column2
"[[1], [2, 3, 4]]",0.970698972047727
"[[1], [2, 3, 4]]",0.9712184388092435
"[[1], [2, 3, 4]]",0.971576864505543
"[[1], [2, 3, 4]]",0.9720827316385146
"[[1], [2, 3, 4]]",0.9722391715133674
"[[1], [2, 3, 4]]",0.9724571756621355
"[[1], [2, 3, 4]]",0.9724089495742028
"[[1], [2, 3, 4]]",0.9724301082794113
"[[1], [2, 3, 4]]",0.9724297376951123
"[[1], [2, 3, 4]]",0.9722035688583468
"[[1], [2, 3, 4]]",0.9722273498781173
"[[1], [2, 3, 4]]",0.972067809197287
"[[1], [2, 3, 4]]",0.9718656100077208
"[[1], [2, 3, 4]]",0.9719975676235653
"[[1], [2, 3, 4]]",0.9722581419913379
"[[1], [2, 3, 4]]",0.9671628545674933
"[[1], [2, 3, 4]]",0.9625329967326434
"[[1], [2, 3, 4]]",0.9611069911200666
"[[1], [2, 3, 4]]",0.9608124811818541
"[[1], [2, 3, 4]]",0.9613379840475372
"[[1], [2, 3, 4]]",0.9618194691796925
"[[1], [2, 3, 4]]",0.9623807306459808
"[[1], [2, 3, 4]]",0.9633875588010805
"[[1], [2, 3, 4]]",0.9640448675564417
"[[1], [2, 3, 4]]",0.9646878856750962
"[[1], [2, 3, 4]]",0.965414230132008
"[[1], [2, 3, 4]]",0.9658095212144666
"[[1], [2, 3, 4]]",0.9661741983167753
"[[1], [2, 3, 4]]",0.9666572093426267
"[[1], [2, 3, 4]]",0.9664338863846039
"[[1], [2, 3, 4]]",0.9664594294598265
"[[1], [2, 3, 4]]",0.9665175279037755
"[[1], [2, 3, 4]]",0.9661033706822952
"[[1], [2, 3, 4]]",0.9657606556760223
"[[1], [2, 3, 4]]",0.9647549483510075
"[[1], [2, 3, 4]]",0.9636335339069622
"[[1], [2, 3, 4]]",0.9623260335235002
"[[1], [2, 3, 4]]",0.9616412474919532
"[[1], [2, 3, 4]]",0.9606230808594614
"[[1], [2, 3, 4]]",0.9639419270415253
"[[1], [2, 3, 4]]",0.9678213957730115
"[[1], [2, 3, 4]]",0.9685330480540333
"[[1], [2, 3, 4]]",0.9686488989769277
"[[1], [2, 3, 4]]",0.9687473025509261
"[[1], [2, 3, 4]]",0.968791008333173
"[[1], [2, 3, 4]]",0.9688436962358462
"[[1], [2, 3, 4]]",0.9686724595753665
"[[1], [2, 3, 4]]",0.9686559467063597
"[[1], [2, 3, 4]]",0.9687808253647789
"[[1], [2, 3, 4]]",0.96887976561236
"[[1], [2, 3, 4]]",0.9690170867582389
"[[1], [2, 3, 4]]",0.9691801092972958
"[[1], [2, 3, 4]]",0.9691202394913213
"[[1], [2, 3, 4]]",0.9688420553293708
"[[1], [2, 3, 4]]",0.9688742641875564
"[[1], [2, 3, 4]]",0.967846614796287
"[[1], [2, 3, 4]]",0.96681730600933
"[[1], [2, 3, 4]]",0.9651072409770076
"[[1], [2, 3, 4]]",0.9638890600375764
"[[1], [2, 3, 4]]",0.9626836848534591
"[[1], [2, 3, 4]]",0.9617950963673729
"[[1], [2, 3, 4]]",0.9605177946631336
"[[1], [2, 3, 4]]",0.9597022358233992
"[[1], [2, 3, 4]]",0.9655004685626174
"[[1], [2, 3, 4]]",0.9730109049647551
"[[1], [2, 3, 4]]",0.9768460509564432
"[[4], [1, 2, 3]]",0.9788469286139125
"[[4], [1, 2, 3]]",0.9793971686143691
"[[4], [1, 2, 3]]",0.9806512133571403
"[[4], [1, 2, 3]]",0.9805054396617189
"[[4], [1, 2, 3]]",0.980169060411384
"[[4], [1, 2, 3]]",0.9799116026848218
"[[4], [1, 2, 3]]",0.9798237122701405
"[[4], [1, 2, 3]]",0.9799110969974187
"[[4], [1, 2, 3]]",0.9800165169085715
"[[4], [1, 2, 3]]",0.9801000366885814
"[[4], [1, 2, 3]]",0.9803931819759857
"[[4], [1, 2, 3]]",0.9802815742586197
"[[4], [1, 2, 3]]",0.9806295743396471
"[[4], [1, 2, 3]]",0.9810639120586775
"[[4], [1, 2, 3]]",0.9810772364973959
"[[4], [1, 2, 3]]",0.9811262958127875
"[[4], [1, 2, 3]]",0.9816716539027317
"[[4], [1, 2, 3]]",0.9822479775201716
"[[4], [1, 2, 3]]",0.9828500725835128
"[[4], [1, 2, 3]]",0.9828620365145291
"[[4], [1, 2, 3]]",0.9830544324092636
"[[1], [2, 3, 4]]",0.9689007272519636
"[[1], [2, 3, 4]]",0.9590817909320233
"[[1], [2, 3, 4]]",0.95247589657299
"[[1], [2, 3, 4]]",0.9512844094852918
"[[1], [2, 3, 4]]",0.9512759455005196
"[[1], [2, 3, 4]]",0.9513167219436787
"[[1], [2, 3, 4]]",0.951317474565777
"[[1], [2, 3, 4]]",0.9517555598638654
"[[1], [2, 3, 4]]",0.9519308176139034
"[[1], [2, 3, 4]]",0.9518965286975781
"[[1], [2, 3, 4]]",0.9518351735764645
"[[1], [2, 3, 4]]",0.9515309147111508
"[[1], [2, 3, 4]]",0.9513607631301098
"[[1], [2, 3, 4]]",0.9516320114694832
"[[1], [2, 3, 4]]",0.9511455361011218
"[[1], [2, 3, 4]]",0.9506436435504824
"[[1], [2, 3, 4]]",0.9510632483038111
"[[1], [2, 3, 4]]",0.952530191239442
