Column1,Column2,first 500 UK
"[[2], [1, 3, 4]]",0.954210942,0.954210942
"[[2], [1, 3, 4]]",0.954443074,0.954443074
"[[2], [1, 3, 4]]",0.954651877,0.954651877
"[[2], [1, 3, 4]]",0.954771188,0.954771188
"[[2], [1, 3, 4]]",0.954841363,0.954841363
"[[2], [1, 3, 4]]",0.955073179,0.955073179
"[[1, 4], [2, 3]]",0.955266347,0.955266347
"[[1, 4], [2, 3]]",0.955490964,0.955490964
"[[1, 4], [2, 3]]",0.955780426,0.955780426
"[[1, 4], [2, 3]]",0.956038675,0.956038675
"[[2, 3], [1, 4]]",0.956291469,0.956291469
"[[1, 4], [2, 3]]",0.956597799,0.956597799
"[[1, 4], [2, 3]]",0.956759461,0.956759461
"[[1, 4], [2, 3]]",0.956726473,0.956726473
"[[2, 3], [1, 4]]",0.956698225,0.956698225
"[[1, 4], [2, 3]]",0.956623771,0.956623771
"[[1, 4], [2, 3]]",0.956476238,0.956476238
"[[2, 3], [1, 4]]",0.956348917,0.956348917
"[[2, 3], [1, 4]]",0.956300524,0.956300524
"[[2, 3], [1, 4]]",0.956234872,0.956234872
"[[1, 4], [2, 3]]",0.9562014,0.9562014
"[[1, 4], [2, 3]]",0.956249604,0.956249604
"[[2, 3], [1, 4]]",0.956460695,0.956460695
"[[2, 3], [1, 4]]",0.956703545,0.956703545
"[[2, 3], [1, 4]]",0.956751543,0.956751543
"[[2, 3], [1, 4]]",0.956673298,0.956673298
"[[1, 4], [2, 3]]",0.956671761,0.956671761
"[[2, 3], [1, 4]]",0.956667578,0.956667578
"[[2, 3], [1, 4]]",0.956676943,0.956676943
"[[2, 3], [1, 4]]",0.956641643,0.956641643
"[[1, 4], [2, 3]]",0.956577364,0.956577364
"[[1, 4], [2, 3]]",0.956540714,0.956540714
"[[1, 4], [2, 3]]",0.956514975,0.956514975
"[[1, 4], [2, 3]]",0.956520391,0.956520391
"[[2, 3], [1, 4]]",0.956464952,0.956464952
"[[1, 4], [2, 3]]",0.956291242,0.956291242
"[[1, 4], [2, 3]]",0.956436446,0.956436446
"[[1, 4], [2, 3]]",0.956911701,0.956911701
"[[2, 3], [1, 4]]",0.957569365,0.957569365
"[[2, 3], [1, 4]]",0.957710177,0.957710177
"[[1, 4], [2, 3]]",0.957905085,0.957905085
"[[1, 4], [2, 3]]",0.957980439,0.957980439
"[[1, 4], [2, 3]]",0.957985663,0.957985663
"[[1, 4], [2, 3]]",0.957692006,0.957692006
"[[1, 4], [2, 3]]",0.957359318,0.957359318
"[[1, 4], [2, 3]]",0.957333708,0.957333708
"[[1, 4], [2, 3]]",0.929323188,0.929323188
"[[1], [2, 3, 4]]",0.886525203,0.886525203
"[[1], [2, 3, 4]]",0.878374918,0.878374918
"[[1], [2, 3, 4]]",0.877133612,0.877133612
"[[1], [2, 3, 4]]",0.878177436,0.878177436
"[[1], [2, 3, 4]]",0.878267536,0.878267536
"[[1], [2, 3, 4]]",0.878224806,0.878224806
"[[1], [2, 3, 4]]",0.878413548,0.878413548
"[[1], [2, 3, 4]]",0.878562489,0.878562489
"[[1], [2, 3, 4]]",0.878643111,0.878643111
"[[1], [2, 3, 4]]",0.878682269,0.878682269
"[[1], [2, 3, 4]]",0.878772455,0.878772455
"[[1], [2, 3, 4]]",0.878844975,0.878844975
"[[1], [2, 3, 4]]",0.87895959,0.87895959
"[[1], [2, 3, 4]]",0.878952014,0.878952014
"[[1], [2, 3, 4]]",0.878695445,0.878695445
"[[1], [2, 3, 4]]",0.878349423,0.878349423
"[[1], [2, 3, 4]]",0.878290414,0.878290414
"[[1], [2, 3, 4]]",0.878437473,0.878437473
"[[1], [2, 3, 4]]",0.878663763,0.878663763
"[[1], [2, 3, 4]]",0.878907794,0.878907794
"[[1], [2, 3, 4]]",0.879045709,0.879045709
"[[1], [2, 3, 4]]",0.87906828,0.87906828
"[[1], [2, 3, 4]]",0.879037167,0.879037167
"[[1], [2, 3, 4]]",0.87909746,0.87909746
"[[1], [2, 3, 4]]",0.879228782,0.879228782
"[[1], [2, 3, 4]]",0.879158747,0.879158747
"[[1], [2, 3, 4]]",0.878928057,0.878928057
"[[1], [2, 3, 4]]",0.879026921,0.879026921
"[[1], [2, 3, 4]]",0.879049849,0.879049849
"[[1], [2, 3, 4]]",0.879140538,0.879140538
