chlor_strength,ammonia_strength
0.9902984273890945,0.9505736677458773
0.9907470503946492,0.9505224340481979
0.990923988230987,0.9523850257295753
0.9908676676347161,0.9560963381728489
0.9904780486696932,0.9544867031347427
0.9901259184599112,0.9525862658973797
0.9900302474802509,0.9512997733051505
0.9896002636090504,0.9497363250110975
0.9893135146500958,0.9481116538096739
0.9890938606840184,0.9466655026278057
0.9889122348574018,0.945774228789936
0.9888757777007999,0.9493587416093007
0.9888712822459378,0.9538074159117995
0.9888500866366066,0.9578567717134944
0.9888469637292188,0.960315903015852
0.9888323938618998,0.9604016735625458
0.9887827024615681,0.9603567362037098
0.9888214918957782,0.9601247299264746
0.9888294286306518,0.9600384330221865
0.988761937479586,0.960018376331937
0.988529814021921,0.9599657159665811
0.9883492879814584,0.9599221880401922
0.9882824879906043,0.9597664795077618
0.9882528289740307,0.9595014954409411
0.9882189185704386,0.9593121747625981
0.9881181127580662,0.9589184761800309
0.9879671138004651,0.9583908180520855
0.9877781552018752,0.957911059537025
0.9877334715910322,0.9579773582375325
0.9877315011975538,0.9574746063355102
0.9877571249630059,0.9574612145097888
0.9877114918076789,0.9574718491058988
0.9791768061018412,0.9572689914585297
0.9700321679679098,0.9569674441125199
0.9653483674779026,0.9562974461087077
0.9604881885072989,0.9636174088581777
0.9606912553823932,0.9723875070516745
0.9614927585036728,0.9767739940215168
0.9631415128018612,0.9775964383773019
0.9644170066910941,0.9801607091803979
0.9657712923671298,0.9858666510148215
0.9668802420542999,0.9861233194065561
0.9681659785326813,0.9861005580425382
0.969373435939825,0.9860505289241541
0.9702986821025859,0.9861037118421268
0.9707968392828068,0.9864767755260082
0.9713780119734046,0.9865349319710929
0.9719951541548408,0.9866283497548294
0.9729151126979119,0.986831578942955
0.9739368030355313,0.9868819433014926
0.9741922673845376,0.9866400202970884
0.9662507066283945,0.9866240756058695
0.9621217494593466,0.9860437129616957
0.9598088504910689,0.9860258010899474
0.9581073152049434,0.985068718574613
0.9557604932254201,0.9843873520781272
0.9547925986336211,0.9843622216034398
0.9548992555224294,0.9839337252590858
0.954907037993614,0.9839172192818958
0.9558779579531305,0.9843748618599195
0.9568616834819406,0.9846175190060229
0.9572979249675465,0.9846454965732827
0.9580130423722748,0.9846782305880986
0.9587835679795271,0.9846815535860376
0.9591689179251326,0.9846257763685861
0.9594218570701549,0.9846301716908805
0.9596100669076356,0.9846862361974058
0.9597166320956722,0.9848064379841273
0.9598120177592593,0.9849585654447472
0.959894967372261,0.9851702758404559
0.9600798421504991,0.9853663846866426
0.9603230641817134,0.985356137526416
0.9606908848970674,0.985384322336277
0.9612271449228971,0.9849679777347212
0.9617686723462318,0.9763341968633213
0.9626616600554191,0.9364334510870205
0.962958144959353,0.9271403939929441
0.9637956820854022,0.9288349199561169
0.9644798810300863,0.9309206338870168
0.9643786149273902,0.9331280846897918
0.963043171714443,0.9352128923689658
0.960817430806799,0.9368320589424141
0.9569244454560543,0.9343738519786078
0.9482988624065697,0.9308288688398072
0.9452780697952334,0.9284284664310419
0.9466469810748162,0.9291370888270095
0.9478368861760136,0.9297895215883039
0.9488125244297612,0.9305157863902191
0.9495334432621025,0.9300965699163635
0.9499020174828281,0.9299400586918656
0.9497993253292936,0.929716259274342
0.9495726506143901,0.9295826598235486
0.9496099013327073,0.9291413276284801
0.9498069440766954,0.9286975854252044
0.9499211978498208,0.928512090437298
0.9499641563633868,0.9281905821080287
0.9502840175149716,0.9281063317635028
0.9507686427296063,0.9281453520912285
0.9513310422131411,0.9283536125358388
0.9510824412858006,0.9293018331917041
0.9498829727419538,0.9311021605930423
0.947402225435373,0.9328843639768769
0.946313293365942,0.9349985111268009
0.9454121442459384,0.9370219998606955
0.9447988977975923,0.9384906508468467
0.9444144947347664,0.9399844905786898
0.9442759898146031,0.9404972014290233
0.9448214174980256,0.9412476639797884
0.9449838616153978,0.9417657319308061
0.9452839557330976,0.9422933011129275
0.9441165101996234,0.9428842411304612
